Datetime,Close,Volume
20200416-0930,278.81,0
20200416-0935,278.24,1797740
20200416-0940,278.56,1213330
20200416-0945,277.93,1251361
20200416-0950,277.74,1616670
20200416-0955,276.81,1687056
20200416-1000,276.2,1614675
20200416-1005,276.29,1443914
20200416-1010,276.06,1503731
20200416-1015,276.48,1338471
20200416-1020,277.07,1219523
20200416-1025,277.43,1295420
20200416-1030,277.27,1367806
20200416-1035,276.88,1283308
20200416-1040,277.99,2047043
20200416-1045,278.15,1026986
20200416-1050,277.83,837967
20200416-1055,278.52,1582078
20200416-1100,278.56,999882
20200416-1105,279.0,3314557
20200416-1110,278.79,2074937
20200416-1115,279.21,1311676
20200416-1120,279.14,1133798
20200416-1125,278.94,1367182
20200416-1130,278.55,804952
20200416-1135,278.85,953485
20200416-1140,278.95,726508
20200416-1145,278.78,531512
20200416-1150,279.96,1139588
20200416-1155,279.72,1100620
20200416-1200,279.11,1664751
20200416-1205,278.38,1226898
20200416-1210,278.17,1185456
20200416-1215,277.28,2278456
20200416-1220,276.96,1832138
20200416-1225,277.16,1272752
20200416-1230,276.16,1708773
20200416-1235,276.43,1156982
20200416-1240,276.91,2154414
20200416-1245,276.98,2266210
20200416-1250,277.0,2122059
20200416-1255,277.27,1071628
20200416-1300,277.08,920094
20200416-1305,277.05,851250
20200416-1310,277.41,1026531
20200416-1315,277.54,944621
20200416-1320,277.51,1416827
20200416-1325,277.78,722092
20200416-1330,277.92,833098
20200416-1335,277.74,781062
20200416-1340,278.12,989574
20200416-1345,277.76,658304
20200416-1350,277.3,1338582
20200416-1355,277.44,1704234
20200416-1400,277.45,1245625
20200416-1405,278.09,1662775
20200416-1410,278.35,1778039
20200416-1415,278.23,900939
20200416-1420,277.9,833863
20200416-1425,278.05,939362
20200416-1430,278.3,689275
20200416-1435,278.71,771072
20200416-1440,278.56,516486
20200416-1445,278.14,581730
20200416-1450,278.25,1082990
20200416-1455,278.34,557470
20200416-1500,277.95,953435
20200416-1505,277.75,1179983
20200416-1510,277.96,1650753
20200416-1515,277.84,1054138
20200416-1520,278.43,1303559
20200416-1525,278.8,1115306
20200416-1530,279.14,1665747
20200416-1535,279.17,1376749
20200416-1540,278.87,1778361
20200416-1545,278.83,2503161
20200416-1550,279.86,4715690
20200416-1555,279.18,4301019
20200417-0930,284.63,10059410
20200417-0935,284.98,2679570
20200417-0940,284.65,2066203
20200417-0945,284.88,3379827
20200417-0950,284.65,1379065
20200417-0955,285.53,1811851
20200417-1000,285.17,3746242
20200417-1005,285.4,2165196
20200417-1010,284.27,2414221
20200417-1015,283.64,3553593
20200417-1020,283.77,1465196
20200417-1025,283.75,1320133
20200417-1030,283.3,6842515
20200417-1035,283.34,1943007
20200417-1040,283.3,1495567
20200417-1045,282.62,1208074
20200417-1050,283.39,1063237
20200417-1055,283.38,861743
20200417-1100,283.69,1110609
20200417-1105,283.77,962523
20200417-1110,283.44,1956836
20200417-1115,283.3,3333136
20200417-1120,283.04,693916
20200417-1125,282.71,878368
20200417-1130,283.33,925618
20200417-1135,283.56,821226
20200417-1140,283.5,961909
20200417-1145,283.72,779586
20200417-1150,283.67,576412
20200417-1155,283.5,3244112
20200417-1200,283.22,705539
20200417-1205,283.1,1746052
20200417-1210,283.43,554835
20200417-1215,283.85,1358353
20200417-1220,283.48,2730208
20200417-1225,283.34,709486
20200417-1230,283.71,535386
20200417-1235,284.08,1167561
20200417-1240,284.17,680722
20200417-1245,284.55,763971
20200417-1250,284.6,833894
20200417-1255,284.34,1300562
20200417-1300,284.31,931811
20200417-1305,284.55,584876
20200417-1310,284.24,785543
20200417-1315,284.72,855998
20200417-1320,284.17,900661
20200417-1325,283.99,1058337
20200417-1330,284.0,630295
20200417-1335,284.47,1724402
20200417-1340,284.4,549437
20200417-1345,283.8,943038
20200417-1350,283.99,1017647
20200417-1355,284.08,978385
20200417-1400,283.69,721011
20200417-1405,283.7,1150596
20200417-1410,283.53,921647
20200417-1415,283.71,647096
20200417-1420,283.71,922171
20200417-1425,283.45,596886
20200417-1430,283.13,771556
20200417-1435,282.94,971925
20200417-1440,283.16,880773
20200417-1445,283.36,639215
20200417-1450,283.08,1014448
20200417-1455,283.62,723327
20200417-1500,283.79,1002569
20200417-1505,283.94,725741
20200417-1510,284.02,805783
20200417-1515,284.47,938586
20200417-1520,284.24,815448
20200417-1525,284.62,1322909
20200417-1530,285.06,1861642
20200417-1535,285.42,1722531
20200417-1540,285.55,3554932
20200417-1545,286.04,3266351
20200417-1550,286.96,7014185
20200417-1555,286.65,8680898
20200420-0930,282.4,7026820
20200420-0935,283.09,1810942
20200420-0940,282.92,1324221
20200420-0945,283.61,1419056
20200420-0950,283.38,1141990
20200420-0955,283.35,1006495
20200420-1000,283.4,1004378
20200420-1005,283.5,925615
20200420-1010,283.88,1316525
20200420-1015,283.8,764663
20200420-1020,283.69,901759
20200420-1025,283.69,1109776
20200420-1030,283.84,1023418
20200420-1035,283.61,689957
20200420-1040,284.33,1424545
20200420-1045,284.91,1960306
20200420-1050,285.11,2168780
20200420-1055,285.15,1618058
20200420-1100,285.21,1318697
20200420-1105,285.32,1144367
20200420-1110,284.85,1502408
20200420-1115,284.94,767095
20200420-1120,285.4,1119915
20200420-1125,285.35,2405976
20200420-1130,285.34,728667
20200420-1135,286.15,1489491
20200420-1140,286.01,677827
20200420-1145,286.05,1158903
20200420-1150,285.87,464756
20200420-1155,285.93,592509
20200420-1200,285.53,590695
20200420-1205,285.82,530582
20200420-1210,285.24,556049
20200420-1215,285.27,610272
20200420-1220,285.4,717242
20200420-1225,285.31,763219
20200420-1230,285.76,614937
20200420-1235,285.86,778661
20200420-1240,285.71,515823
20200420-1245,285.89,561189
20200420-1250,285.49,516689
20200420-1255,285.4,525781
20200420-1300,284.69,951646
20200420-1305,284.85,740287
20200420-1310,284.48,703385
20200420-1315,284.56,665284
20200420-1320,284.1,651421
20200420-1325,284.57,691250
20200420-1330,284.41,629177
20200420-1335,284.48,575313
20200420-1340,284.67,719196
20200420-1345,284.6,519191
